,DEN1_Nauru_1974_NIHvaccine,DEN1_VietNam_2008_BID_V1937,DEN1_PuertoRico_2006_BID_V852,DEN2_Tonga_1974_NIHvaccine,DENV2_Vietnam_2003_AC21,DEN2_Vietnam_2003_DF_670,DEN2_Nicaragua_2005_BID_V533,DEN2_Nicaragua_2006_BID_V571,DEN2_Peru_1996_IQT2913,DEN2_Vietnam_2006_BID_V735,DEN2_Malaysia_2008_DKD811,DEN3_Fiji_1992__,DEN3_Vietnam_2006_BID_V1329,DEN3_Vietnam_2007_BID_V1817,DEN4_PuertoRico_1999_BID_V2446,DEN4_Indonesia_1973_M30153_p5,DEN1_Peru_2000_IQT_6152,DEN1_Cambodia_2003_GenBankGQ868619,DEN1_Bolivia_2010_FSB_3363,DEN1_Venezuela_2000_OBT_1298,DEN1_Burma_2005_61117,DENV2_Vietnam_2003_AC21_2,DEN2_Cambodia_2009_D2T0601085_KH09_KSP,DEN2_Senegal_2003_Sendak_HD_0674,DEN2_Vietnam_2006_32_135_2,DEN3_Nicaragua_2009_608,DEN3_PuertoRico_1963_PRS_228762,DEN3_Cambodia_2011_V0907330,DEN3_PuertoRico_2006_429965,DEN3_Burma_2008_80931,DEN4_Cambodia_2010_U0811386,DEN4_Malaysia_1973_P73_1120_sylvatic,DEN4_Cambodia_2011_V0624301,DEN4_Burma_2008_81087,DEN4_Nicaragua_1999_703,DEN4_Brazil_2012_BR_12
DENV1/Bolivia/2010-FSB-3363,<10,89,47,<10,<10,<10,<10,<10,<10,<10,<10,<10,11,<10,<10,<10,386,11,17,<10,109,<10,<10,<10,14,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV1/Myanmar/2005/61117,<10,389,281,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,10,<10,<10,1194,59,64,<10,375,<10,<10,<10,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10
DENV1/Cambodia/2003-BID-V1991,<10,106,51,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,462,31,17,<10,119,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV1/Cambodia/2003-BID-V1995,11,166,176,<10,10,<10,<10,<10,<10,11,<10,<10,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DENV1/Nauru/1974-WestPac,<10,50,41,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,139,18,13,<10,50,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV1/Peru/2000-IQT-6152,24,355,391,34,<10,43,20,35,12,81,19,43,17,57,15,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12
DENV1/Puerto-Rico/2006-BID-V852,<10,117,120,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,*,*,*,*,98,<10,<10,<10,<10,<10,<10,12,<10,<10,<10,<10,<10,<10,<10,<10
DENV1/Thailand/1964-16007,26,414,434,28,11,17,11,15,13,27,11,22,31,41,<10,<10,2123,112,75,42,381,<10,<10,<10,<10,11,<10,14,<10,<10,10,<10,<10,<10,<10,<10
DENV1/Venezuela/2000-OBT-1298,<10,78,44,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,334,12,16,<10,49,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV1/Vietnam/2008-BID-V1937,<10,350,205,<10,<10,<10,<10,11,10,11,10,11,<10,15,<10,<10,343,31,20,<10,118,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
